seller_id,seller_short_code,seller_name,shop_url
1003099,BD1NDUZ,Bohu Bangladesh,https://www.daraz.com.bd/shop/bohu-bangladesh
1003100,BD1NDV0,PURPLE BD,https://www.daraz.com.bd/shop/purple-bd
1003101,BD1NDV1,high technology electronics,https://www.daraz.com.bd/shop/high-technology-electronics
1003102,BD1NDV2,Jersey Shop BD,https://www.daraz.com.bd/shop/jersey-shop-bd
1003103,BD1NDV3,Gaby Trade International BD,https://www.daraz.com.bd/shop/gaby-trade-international-bd
1003105,BD1NDV5,MUSIC BAZAR BD,https://www.daraz.com.bd/shop/music-bazar-bd
1003106,BD1NDV6,COMPUTER SOLUTION INC.,https://www.daraz.com.bd/shop/computer-solution-inc-1541516400
1003113,BD1NDVD,ONLINE HEART,https://www.daraz.com.bd/shop/online-heart
1003126,BD1NDVR,Www.daraz.com.bd,https://www.daraz.com.bd/shop/wwwdarazcombd
1003127,BD1NDVS,Choice of People,https://www.daraz.com.bd/shop/choice-of-people
1003143,BD1NDW8,lol,https://www.daraz.com.bd/shop/lol
1003148,BD1NDWD,Gadget Buy Bazar,https://www.daraz.com.bd/shop/gadget-buy-bazar
1003152,BD1NDWH,INDIGODYE,https://www.daraz.com.bd/shop/indigodye
1003162,BD1NDWS,MBP Style,https://www.daraz.com.bd/shop/mbp-style/
1003163,BD1NDWT,X-Ten Fashion,https://www.daraz.com.bd/shop/x-ten-fashion
1003165,BD1NDWV,Heaven Electronics,https://www.daraz.com.bd/shop/heaven-electronics
1003166,BD1NDWW,"""Tonnys Trendy Fashion""",https://www.daraz.com.bd/shop/tonnys-trendy-fashion
1003167,BD1NDWX,Cittron,https://www.daraz.com.bd/shop/cittron
1003169,BD1NDWZ,HI LADY COLLECTION IN YOUR NEED,https://www.daraz.com.bd/shop/hi-lady-collection-in-your-need/
1003171,BD1NDX1,Virtual-Lab,https://www.daraz.com.bd/shop/virtual-lab
1003175,BD1NDX5,Unidesh Trade International,https://www.daraz.com.bd/shop/unidesh-trade-international
1003178,BD1NDX8,HAS MOM N KIDS,https://www.daraz.com.bd/shop/has-mom-n-kids
1003180,BD1NDXA,TULIP MOON,https://www.daraz.com.bd/shop/tulip-moon
1003181,BD1NDXB,Khandakar Collection,https://www.daraz.com.bd/shop/khandakar-collection
1003191,BD1NDXL,Vintage Crafts,https://www.daraz.com.bd/shop/vintage-crafts/
1003194,BD1NDXO,DUPNO International Limited,https://www.daraz.com.bd/shop/dupno-international-limited
1003197,BD1NDXS,Sheen,https://www.daraz.com.bd/shop/sheen
1003201,BD1NDXW,Prime Shop,https://www.daraz.com.bd/shop/prime-shop
1003203,BD1NDXY,Shopping ZoneCTG,https://www.daraz.com.bd/shop/shopping-zonectg
1003206,BD1NDY1,Fashion CutzCTG,https://www.daraz.com.bd/shop/fashion-cutzctg
1003208,BD1NDY3,Digital BD Expressions,https://www.daraz.com.bd/shop/digital-bd-expressions
1003209,BD1NDY4,MASTER IT SOLUTION,https://www.daraz.com.bd/shop/master-it-solution
1003210,BD1NDY5,UNITY Fashion,https://www.daraz.com.bd/shop/unity-fashion
1003212,BD1NDY7,Blossom By Junayna,https://www.daraz.com.bd/shop/blossom-by-junayna
1003214,BD1NDY9,Mega Fashion House,https://www.daraz.com.bd/shop/mega-fashion-house
1003219,BD1NDYE,Master Electronics,https://www.daraz.com.bd/shop/master-electronics/
1003220,BD1NDYF,SK Gadget,https://www.daraz.com.bd/shop/sk-gadget
1003223,BD1NDYI,HI-TECH INTERNATIONAL,https://www.daraz.com.bd/shop/hi-tech-international-1541599794
1003229,BD1NDYO,WIND BLOWS,https://www.daraz.com.bd/shop/wind-blows
1003233,BD1NDYT,Lovely Fashion House,https://www.daraz.com.bd/shop/lovely-fashion-house
1003235,BD1NDYV,Color Vine,https://www.daraz.com.bd/shop/color-vine
1003250,BD1NDZA,EPIC BAZAAR,https://www.daraz.com.bd/shop/epic-bazaar
1003252,BD1NDZC,J&M Fashion,https://www.daraz.com.bd/shop/jm-fashion
1003254,BD1NDZE,hueman.club,https://www.daraz.com.bd/shop/huemanclub
1003267,BD1NDZS,SkyGoal,https://www.daraz.com.bd/shop/skygoal
1003268,BD1NDZT,HEARTBIT STYLE,https://www.daraz.com.bd/shop/heartbit-style
1003271,BD1NDZW,OUTFIT TEX,https://www.daraz.com.bd/shop/outfit-tex
1003273,BD1NDZY,"""D Costa Leather""",https://www.daraz.com.bd/shop/d-costa-leather
1003281,BD1NE06,New Bazar Shop,https://www.daraz.com.bd/shop/new-bazar-shop
1003283,BD1NE08,FULJHURI SHOP,https://www.daraz.com.bd/shop/fuljhuri-shop/
1003285,BD1NE0A,Colormax,https://www.daraz.com.bd/shop/colormax
1003286,BD1NE0B,Colours View CTG,https://www.daraz.com.bd/shop/colours-view-ctg
1003288,BD1NE0D,BD Mug House,https://www.daraz.com.bd/shop/bd-mug-house
1003289,BD1NE0E,CMGL,https://www.daraz.com.bd/shop/cmgl
1003292,BD1NE0H,Home Touch Furniture,https://www.daraz.com.bd/shop/home-touch-furniture
1003293,BD1NE0I,BD Family Mart,https://www.daraz.com.bd/shop/bd-family-mart
1003294,BD1NE0J,Arista Motors.,https://www.daraz.com.bd/shop/arista-motors
1003297,BD1NE0M,GOLDEN TRADING,https://www.daraz.com.bd/shop/golden-trading
1003299,BD1NE0O,Nipun Enterprise,https://www.daraz.com.bd/shop/nipun-enterprise
1003303,BD1NE0T,TailorCraft,https://www.daraz.com.bd/shop/tailorcraft
1003305,BD1NE0V,Nitol Paper,https://www.daraz.com.bd/shop/nitol-paper
1003308,BD1NE0Y,deen trad,https://www.daraz.com.bd/shop/deen-trad/
1003311,BD1NE11,Fashion factoryCTG,https://www.daraz.com.bd/shop/fashion-factoryctg
1003312,BD1NE12,Vusion Trade,https://www.daraz.com.bd/shop/vusion-trade
1003314,BD1NE14,WishWalk,https://www.daraz.com.bd/shop/wishwalk
1003316,BD1NE16,New Sangita,https://www.daraz.com.bd/shop/new-sangita
